entry_time,exit_time,pnl,entry_count,avg_leverage
2025-05-01 23:10:00+00:00,2025-05-02 08:00:00+00:00,23.28648998916873,2,2.0
2025-05-02 08:00:00+00:00,2025-05-02 12:30:00+00:00,22.847886257849684,2,3.0
2025-05-02 12:30:00+00:00,2025-05-02 13:05:00+00:00,74.93248039615813,2,3.5
2025-05-02 13:05:00+00:00,2025-05-02 13:45:00+00:00,-19.33501146549912,2,3.0
2025-05-02 13:45:00+00:00,2025-05-02 14:25:00+00:00,56.90363338217348,1,3.0
2025-05-02 15:00:00+00:00,2025-05-02 16:10:00+00:00,46.119242557738104,2,2.5
2025-05-02 16:10:00+00:00,2025-05-02 17:15:00+00:00,-31.55037739089944,2,3.5
2025-05-02 18:20:00+00:00,2025-05-02 19:00:00+00:00,-24.489512891781658,2,2.5
2025-05-02 20:15:00+00:00,2025-05-02 23:55:00+00:00,-1.2364599641544463,2,2.0
