entry_time,exit_time,pnl,entry_count,avg_leverage
2025-05-01 23:05:00+00:00,2025-05-02 08:00:00+00:00,97.80484127126994,2,3.0
2025-05-02 08:00:00+00:00,2025-05-02 12:30:00+00:00,51.35919998373294,2,2.5
2025-05-02 12:30:00+00:00,2025-05-02 13:05:00+00:00,45.61994005096898,2,3.0
2025-05-02 13:05:00+00:00,2025-05-02 13:45:00+00:00,-40.06881271545316,2,2.5
2025-05-02 13:45:00+00:00,2025-05-02 14:25:00+00:00,28.466876088937695,1,2.0
2025-05-02 15:00:00+00:00,2025-05-02 16:10:00+00:00,25.67162257284248,2,2.0
2025-05-02 16:10:00+00:00,2025-05-02 17:15:00+00:00,-18.74080183428882,2,3.0
2025-05-02 18:20:00+00:00,2025-05-02 19:00:00+00:00,-13.023988158483228,2,2.0
2025-05-02 20:15:00+00:00,2025-05-02 23:55:00+00:00,-1.6255455849336826,2,3.5
