timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2025-05-02 18:00:00+00:00,205.5,205.5097,205.37,1511,205.39,106386,205.450075,AAPL
2025-05-02 18:01:00+00:00,205.43,205.55,205.43,1281,205.5,79482,205.486785,AAPL
2025-05-02 18:02:00+00:00,205.45,205.61,205.43,1495,205.44,92379,205.521465,AAPL
2025-05-02 18:03:00+00:00,205.4984,205.54,205.44,1127,205.46,54308,205.501475,AAPL
2025-05-02 18:04:00+00:00,205.54,205.58,205.4622,1114,205.52,63551,205.518242,AAPL
2025-05-02 18:05:00+00:00,205.5436,205.56,205.42,1519,205.541,109926,205.495452,AAPL
2025-05-02 18:06:00+00:00,205.38,205.55,205.38,1174,205.545,71709,205.457485,AAPL
2025-05-02 18:07:00+00:00,205.195,205.375,205.16,1654,205.375,107033,205.246287,AAPL
2025-05-02 18:08:00+00:00,205.175,205.24,205.17,1126,205.1999,72067,205.206336,AAPL
2025-05-02 18:09:00+00:00,205.26,205.29,205.175,1218,205.175,75799,205.223608,AAPL
2025-05-02 18:10:00+00:00,205.35,205.3615,205.25,1424,205.26,86047,205.319254,AAPL
2025-05-02 18:11:00+00:00,205.42,205.43,205.28,1378,205.345,90459,205.365119,AAPL
2025-05-02 18:12:00+00:00,205.39,205.43,205.35,899,205.41,43290,205.383409,AAPL
2025-05-02 18:13:00+00:00,205.27,205.41,205.25,1265,205.381,78361,205.341592,AAPL
2025-05-02 18:14:00+00:00,205.26,205.43,205.21,1465,205.27,107186,205.331965,AAPL
2025-05-02 18:15:00+00:00,205.12,205.255,205.01,1592,205.2545,137342,205.142326,AAPL
2025-05-02 18:16:00+00:00,205.09,205.14,205.06,1046,205.12,58712,205.094851,AAPL
2025-05-02 18:17:00+00:00,205.115,205.19,205.07,1062,205.08,68111,205.125034,AAPL
2025-05-02 18:18:00+00:00,205.18,205.19,205.07,1374,205.12,66777,205.125977,AAPL
2025-05-02 18:19:00+00:00,205.106,205.2,205.105,1408,205.17,117240,205.169725,AAPL
2025-05-02 18:20:00+00:00,204.88,205.11,204.88,2290,205.11,133291,205.002177,AAPL
2025-05-02 18:21:00+00:00,204.8999,204.965,204.81,2003,204.89,213848,204.885255,AAPL
2025-05-02 18:22:00+00:00,204.94,205.05,204.8914,1249,204.8914,88321,204.950194,AAPL
2025-05-02 18:23:00+00:00,204.9285,204.9808,204.91,1119,204.95,65586,204.946721,AAPL
2025-05-02 18:24:00+00:00,205.005,205.03,204.9,1094,204.92,67485,204.950414,AAPL
2025-05-02 18:25:00+00:00,204.915,205.005,204.89,1296,205.005,77112,204.955489,AAPL
2025-05-02 18:26:00+00:00,204.92,204.99,204.915,1050,204.915,67691,204.946825,AAPL
2025-05-02 18:27:00+00:00,204.9098,204.95,204.86,1555,204.92,99186,204.90127,AAPL
2025-05-02 18:28:00+00:00,204.89,204.965,204.825,1520,204.9108,112164,204.875138,AAPL
2025-05-02 18:29:00+00:00,204.88,204.93,204.8665,1196,204.8812,77111,204.896063,AAPL
2025-05-02 18:30:00+00:00,204.8575,204.895,204.8226,1418,204.87,78775,204.859582,AAPL
2025-05-02 18:31:00+00:00,204.87,204.8791,204.75,2306,204.855,177321,204.808535,AAPL
2025-05-02 18:32:00+00:00,204.78,204.925,204.71,2083,204.87,175409,204.848124,AAPL
2025-05-02 18:33:00+00:00,204.76,204.83,204.705,1659,204.78,104897,204.763218,AAPL
2025-05-02 18:34:00+00:00,204.725,204.7899,204.6946,1491,204.76,85374,204.720792,AAPL
2025-05-02 18:35:00+00:00,204.6898,204.725,204.6316,1537,204.725,96816,204.680722,AAPL
2025-05-02 18:36:00+00:00,204.905,204.93,204.65,1882,204.67,143718,204.803149,AAPL
2025-05-02 18:37:00+00:00,205.05,205.075,204.84,1907,204.905,151569,204.963022,AAPL
2025-05-02 18:38:00+00:00,204.89,205.0777,204.89,1444,205.05,109021,205.001295,AAPL
2025-05-02 18:39:00+00:00,205.05,205.05,204.88,1243,204.89,70239,204.944575,AAPL
2025-05-02 18:40:00+00:00,205.09,205.15,204.99,1439,205.04,109175,205.06178,AAPL
2025-05-02 18:41:00+00:00,205.235,205.235,205.03,1463,205.1,115652,205.128737,AAPL
2025-05-02 18:42:00+00:00,205.17,205.251,205.1503,1372,205.24,105827,205.213547,AAPL
2025-05-02 18:43:00+00:00,205.2895,205.34,205.15,1300,205.165,100095,205.269374,AAPL
2025-05-02 18:44:00+00:00,205.335,205.36,205.28,1021,205.28,61411,205.3281,AAPL
2025-05-02 18:45:00+00:00,205.395,205.4199,205.33,1134,205.335,70093,205.37012,AAPL
2025-05-02 18:46:00+00:00,205.3603,205.43,205.33,1337,205.4,91742,205.37569,AAPL
2025-05-02 18:47:00+00:00,205.17,205.385,205.165,1807,205.37,138403,205.272979,AAPL
2025-05-02 18:48:00+00:00,205.01,205.2095,205.01,1700,205.17,103744,205.123265,AAPL
2025-05-02 18:49:00+00:00,204.68,205.02,204.65,2680,205.01,187469,204.787862,AAPL
2025-05-02 18:50:00+00:00,204.58,204.74,204.5,2068,204.67,136061,204.59801,AAPL
2025-05-02 18:51:00+00:00,204.6099,204.73,204.57,1999,204.58,137078,204.639418,AAPL
2025-05-02 18:52:00+00:00,204.635,204.745,204.595,1697,204.6,115370,204.684114,AAPL
2025-05-02 18:53:00+00:00,204.72,204.745,204.61,1642,204.63,110043,204.682839,AAPL
2025-05-02 18:54:00+00:00,204.7001,204.76,204.68,1512,204.72,126780,204.738557,AAPL
2025-05-02 18:55:00+00:00,204.6043,204.7,204.58,1968,204.7,166081,204.644136,AAPL
2025-05-02 18:56:00+00:00,204.44,204.605,204.29,3143,204.6,248176,204.427414,AAPL
2025-05-02 18:57:00+00:00,204.695,204.7,204.44,1434,204.44,103438,204.605314,AAPL
2025-05-02 18:58:00+00:00,204.38,204.715,204.3763,1513,204.69,102907,204.563035,AAPL
2025-05-02 18:59:00+00:00,204.18,204.42,204.09,3349,204.38,254924,204.220444,AAPL
2025-05-02 19:00:00+00:00,204.05,204.2614,204.01,2613,204.17,220608,204.142205,AAPL
2025-05-02 19:01:00+00:00,204.11,204.13,203.82,7547,204.04,408409,203.953813,AAPL
2025-05-02 19:02:00+00:00,204.19,204.2,204.07,2102,204.0901,202043,204.136346,AAPL
2025-05-02 19:03:00+00:00,204.2,204.3505,204.19,1688,204.2,111584,204.245072,AAPL
2025-05-02 19:04:00+00:00,204.094,204.24,204.03,1708,204.195,114407,204.10817,AAPL
2025-05-02 19:05:00+00:00,204.01,204.1472,203.88,2553,204.1,145911,204.003829,AAPL
2025-05-02 19:06:00+00:00,203.99,204.134,203.9156,3327,204.0165,206128,204.00596,AAPL
2025-05-02 19:07:00+00:00,204.0075,204.1,203.97,1987,204.0,131023,204.019888,AAPL
2025-05-02 19:08:00+00:00,204.0775,204.09,203.91,1639,204.0034,100165,203.987544,AAPL
2025-05-02 19:09:00+00:00,204.03,204.1264,204.005,1663,204.0711,108611,204.066037,AAPL
2025-05-02 19:10:00+00:00,203.97,204.109,203.94,1916,204.02,130551,204.017915,AAPL
2025-05-02 19:11:00+00:00,203.8601,203.9802,203.81,2520,203.9802,190542,203.873642,AAPL
2025-05-02 19:12:00+00:00,203.8,203.92,203.8,2264,203.87,120820,203.84675,AAPL
2025-05-02 19:13:00+00:00,203.835,203.9,203.8,1889,203.82,100538,203.833601,AAPL
2025-05-02 19:14:00+00:00,203.7049,203.85,203.685,2999,203.82,193765,203.745486,AAPL
2025-05-02 19:15:00+00:00,203.98,203.98,203.66,2457,203.7,177733,203.825493,AAPL
2025-05-02 19:16:00+00:00,204.045,204.1274,203.97,2055,203.99,170868,204.055829,AAPL
2025-05-02 19:17:00+00:00,204.1,204.155,204.04,1717,204.04,103134,204.104918,AAPL
2025-05-02 19:18:00+00:00,204.08,204.12,203.985,1918,204.1,129514,204.05457,AAPL
2025-05-02 19:19:00+00:00,204.205,204.26,204.05,2132,204.0753,159839,204.111013,AAPL
2025-05-02 19:20:00+00:00,204.3872,204.43,204.16,2235,204.2,151742,204.285412,AAPL
2025-05-02 19:21:00+00:00,204.5816,204.5998,204.39,1716,204.39,126962,204.469247,AAPL
2025-05-02 19:22:00+00:00,204.64,204.705,204.5701,1944,204.585,144021,204.648721,AAPL
2025-05-02 19:23:00+00:00,204.42,204.66,204.33,2355,204.65,160711,204.518301,AAPL
2025-05-02 19:24:00+00:00,204.5768,204.7,204.41,1908,204.4301,121892,204.582241,AAPL
2025-05-02 19:25:00+00:00,204.7301,204.76,204.56,1979,204.565,131157,204.686329,AAPL
2025-05-02 19:26:00+00:00,204.82,204.87,204.66,2183,204.7224,166259,204.800337,AAPL
2025-05-02 19:27:00+00:00,204.8201,204.9,204.79,1844,204.82,181364,204.855227,AAPL
2025-05-02 19:28:00+00:00,204.8909,204.9815,204.815,2299,204.815,170552,204.92378,AAPL
2025-05-02 19:29:00+00:00,204.76,204.9099,204.7116,1916,204.895,123358,204.815042,AAPL
2025-05-02 19:30:00+00:00,204.88,204.92,204.74,1824,204.78,139848,204.833504,AAPL
2025-05-02 19:31:00+00:00,204.8502,204.9302,204.77,1928,204.88,139265,204.867103,AAPL
