timestamp,close,high,low,trade_count,open,volume,vwap
2025-05-05 08:00:00+00:00,81.94,81.95,81.85,12,81.85,594,81.922222
2025-05-05 08:05:00+00:00,81.84,81.84,81.84,4,81.84,1500,81.84
2025-05-05 08:10:00+00:00,81.94,81.94,81.94,12,81.94,857,81.94
2025-05-05 08:15:00+00:00,81.95,81.95,81.95,1,81.95,100,81.95
2025-05-05 08:25:00+00:00,81.92,81.92,81.91,5,81.91,400,81.913958
2025-05-05 08:30:00+00:00,81.73,81.73,81.73,4,81.73,334,81.73
2025-05-05 08:40:00+00:00,81.69,81.69,81.69,26,81.69,747,81.69
2025-05-05 08:45:00+00:00,81.62,81.62,81.61,5,81.61,400,81.613767
2025-05-05 08:50:00+00:00,81.44,81.44,81.43,6,81.43,494,81.437143
2025-05-05 08:55:00+00:00,81.54,81.54,81.54,27,81.54,766,81.54
2025-05-05 09:00:00+00:00,81.56,81.56,81.56,1,81.56,103,81.56
2025-05-05 09:05:00+00:00,81.43,81.47,81.43,18,81.47,1252,81.454205
2025-05-05 09:10:00+00:00,81.47,81.47,81.47,2,81.47,103,81.47
2025-05-05 09:15:00+00:00,81.5,81.5,81.44,12,81.44,617,81.481016
2025-05-05 09:20:00+00:00,81.67,81.67,81.67,3,81.67,250,81.67
2025-05-05 09:25:00+00:00,81.66,81.66,81.64,9,81.66,791,81.651538
2025-05-05 09:30:00+00:00,81.68,81.68,81.68,1,81.68,150,81.68
2025-05-05 09:35:00+00:00,81.67,81.67,81.67,3,81.67,200,81.67
2025-05-05 09:50:00+00:00,81.73,81.73,81.73,2,81.73,101,81.73
2025-05-05 10:00:00+00:00,81.68,81.68,81.67,6,81.67,306,81.675495
2025-05-05 10:30:00+00:00,81.6,81.6,81.6,2,81.6,151,81.6
2025-05-05 10:35:00+00:00,81.6,81.6,81.6,1,81.6,300,81.6
2025-05-05 10:40:00+00:00,81.55,81.6,81.55,4,81.6,552,81.57
2025-05-05 10:45:00+00:00,81.6,81.6,81.6,1,81.6,100,81.6
2025-05-05 10:50:00+00:00,81.71,81.71,81.64,10,81.64,467,81.663333
2025-05-05 11:10:00+00:00,81.7,81.7,81.7,3,81.7,211,81.7
2025-05-05 11:20:00+00:00,81.65,81.65,81.65,1,81.65,300,81.65
2025-05-05 11:30:00+00:00,81.61,81.61,81.61,1,81.61,180,81.61
2025-05-05 11:40:00+00:00,81.45,81.45,81.44,3,81.44,1050,81.443
2025-05-05 11:50:00+00:00,81.55,81.57,81.54,20,81.56,1241,81.551818
2025-05-05 11:55:00+00:00,81.48,81.51,81.48,15,81.51,2127,81.499818
2025-05-05 12:00:00+00:00,81.47,81.9347,81.46,106,81.69,15090,81.586577
2025-05-05 12:05:00+00:00,81.59,81.59,81.59,5,81.59,109,81.59
2025-05-05 12:10:00+00:00,81.71,81.721,81.71,22,81.721,2636,81.719635
2025-05-05 12:35:00+00:00,81.59,81.61,81.59,11,81.61,992,81.603793
2025-05-05 12:40:00+00:00,81.56,81.63,81.56,16,81.61,1877,81.591945
2025-05-05 12:45:00+00:00,81.56,81.57,81.53,25,81.53,3426,81.532622
2025-05-05 12:50:00+00:00,81.61,81.61,81.61,2,81.61,156,81.61
2025-05-05 12:55:00+00:00,81.67,81.7,81.67,29,81.68,3075,81.681606
2025-05-05 13:00:00+00:00,81.7395,81.8,81.65,67,81.65,8536,81.741864
2025-05-05 13:05:00+00:00,81.6599,81.73,81.6499,8,81.7199,1018,81.711053
2025-05-05 13:10:00+00:00,81.67,81.74,81.67,36,81.74,10636,81.672662
2025-05-05 13:15:00+00:00,81.66,81.66,81.63,16,81.63,1061,81.640856
2025-05-05 13:20:00+00:00,81.68,81.69,81.64,46,81.65,3471,81.672015
2025-05-05 13:25:00+00:00,81.63,81.72,81.63,77,81.63,11129,81.673502
2025-05-05 13:30:00+00:00,81.76,81.7981,81.52,459,81.67,84057,81.663074
2025-05-05 13:35:00+00:00,81.66,81.85,81.6465,235,81.75,39926,81.766413
2025-05-05 13:40:00+00:00,81.66,81.748,81.46,712,81.667,199657,81.537817
2025-05-05 13:45:00+00:00,81.75,81.77,81.55,198,81.63,14772,81.619235
2025-05-05 13:50:00+00:00,81.575,81.69,81.42,210,81.69,22834,81.504845
2025-05-05 13:55:00+00:00,81.82,81.8795,81.5892,174,81.65,20387,81.810709
2025-05-05 14:00:00+00:00,81.8101,82.135,81.8101,605,81.815,85173,81.97224
2025-05-05 14:05:00+00:00,81.915,82.02,81.63,270,81.8,28298,81.818779
2025-05-05 14:10:00+00:00,81.8535,82.0498,81.849,162,81.89,28672,81.909641
2025-05-05 14:15:00+00:00,82.02,82.12,81.8201,197,81.9,38378,82.003551
2025-05-05 14:20:00+00:00,81.875,82.1,81.875,132,82.09,11103,81.945157
2025-05-05 14:25:00+00:00,82.013,82.0696,81.875,172,81.889,19952,81.973646
2025-05-05 14:30:00+00:00,81.86,81.99,81.79,142,81.99,16612,81.912042
2025-05-05 14:35:00+00:00,82.155,82.2,81.8,246,81.88,40192,81.983648
2025-05-05 14:40:00+00:00,82.23,82.2997,82.0823,193,82.0823,33666,82.207542
2025-05-05 14:45:00+00:00,82.2556,82.3,82.205,313,82.25,10158,82.255541
2025-05-05 14:50:00+00:00,82.35,82.35,82.1829,129,82.245,20736,82.244688
2025-05-05 14:55:00+00:00,82.37,82.425,82.3143,89,82.3401,10816,82.370018
2025-05-05 15:00:00+00:00,82.4,82.42,82.354,68,82.4,5879,82.392804
2025-05-05 15:05:00+00:00,82.36,82.4,82.26,105,82.37,7937,82.328371
2025-05-05 15:10:00+00:00,82.2999,82.36,82.21,64,82.2795,7626,82.293012
2025-05-05 15:15:00+00:00,82.345,82.345,82.23,71,82.27,6191,82.279305
2025-05-05 15:20:00+00:00,82.3969,82.4697,82.341,86,82.349,25475,82.415592
2025-05-05 15:25:00+00:00,82.275,82.3848,82.23,76,82.3848,18545,82.307335
2025-05-05 15:30:00+00:00,82.2,82.387,82.2,101,82.32,10467,82.261418
2025-05-05 15:35:00+00:00,82.08,82.205,82.06,77,82.199,8342,82.126137
2025-05-05 15:40:00+00:00,82.18,82.2665,82.0772,36,82.0772,3484,82.190449
2025-05-05 15:45:00+00:00,82.24,82.325,82.19,71,82.26,5079,82.260556
2025-05-05 15:50:00+00:00,82.41,82.41,82.245,49,82.245,8807,82.366258
2025-05-05 15:55:00+00:00,82.3835,82.39,82.315,43,82.36,6211,82.378502
2025-05-05 16:00:00+00:00,82.4824,82.529,82.32,133,82.3869,12558,82.46186
2025-05-05 16:05:00+00:00,82.47,82.6,82.47,78,82.4909,7813,82.531379
2025-05-05 16:10:00+00:00,82.4888,82.55,82.46,61,82.4772,7258,82.507356
2025-05-05 16:15:00+00:00,82.5327,82.5776,82.524,30,82.524,1669,82.55426
2025-05-05 16:20:00+00:00,82.546,82.6083,82.51,84,82.5514,12453,82.549171
2025-05-05 16:25:00+00:00,82.6,82.6399,82.5,53,82.5302,6178,82.574145
