entry_time,exit_time,pnl,entry_count,avg_leverage
2025-05-02 12:20:00+00:00,2025-05-02 12:30:00+00:00,193.81892840368104,2,3.5
2025-05-02 12:30:00+00:00,2025-05-02 12:35:00+00:00,9.377186683599842,1,2.0
2025-05-02 12:35:00+00:00,2025-05-02 12:50:00+00:00,55.20256174355569,2,3.0
2025-05-02 12:50:00+00:00,2025-05-02 13:10:00+00:00,51.19478877498873,2,2.5
2025-05-02 13:10:00+00:00,2025-05-02 13:15:00+00:00,-19.055344513192914,1,2.0
2025-05-02 13:15:00+00:00,2025-05-02 13:25:00+00:00,-42.993702248605565,2,3.0
2025-05-02 13:25:00+00:00,2025-05-02 13:45:00+00:00,-28.846612608497637,2,2.0
2025-05-02 13:45:00+00:00,2025-05-02 14:05:00+00:00,5.942658912695057,1,1.0
2025-05-02 15:00:00+00:00,2025-05-02 15:20:00+00:00,-11.331449586914331,2,3.5
2025-05-02 15:20:00+00:00,2025-05-02 15:25:00+00:00,-54.60986237496145,1,4.0
2025-05-02 16:05:00+00:00,2025-05-02 17:15:00+00:00,-26.389548393518222,2,2.0
2025-05-02 18:20:00+00:00,2025-05-02 18:45:00+00:00,-34.19423966072789,2,3.5
2025-05-02 18:45:00+00:00,2025-05-02 19:20:00+00:00,10.053075055792947,2,2.0
2025-05-02 20:20:00+00:00,2025-05-02 23:05:00+00:00,-58.22324759612045,2,3.5
2025-05-02 23:05:00+00:00,2025-05-05 08:00:00+00:00,-94.39724859529215,1,2.0
2025-05-05 09:25:00+00:00,2025-05-05 10:30:00+00:00,-9.370106762893847,2,2.0
2025-05-05 10:30:00+00:00,2025-05-05 11:40:00+00:00,-15.362719437100145,2,3.0
2025-05-05 11:40:00+00:00,2025-05-05 12:10:00+00:00,88.71064850609122,2,3.5
2025-05-05 12:10:00+00:00,2025-05-05 12:30:00+00:00,-28.775900199648138,2,2.5
2025-05-05 12:30:00+00:00,2025-05-05 14:00:00+00:00,44.1872386835302,2,2.5
2025-05-05 14:00:00+00:00,2025-05-05 14:15:00+00:00,41.69548393073363,2,3.5
2025-05-05 14:15:00+00:00,2025-05-05 14:20:00+00:00,-45.55036907749884,1,3.0
2025-05-05 14:20:00+00:00,2025-05-05 14:35:00+00:00,30.87090639382295,2,3.5
2025-05-05 14:35:00+00:00,2025-05-05 14:55:00+00:00,60.5693510388183,2,3.0
2025-05-05 14:55:00+00:00,2025-05-05 15:30:00+00:00,-45.08790032656833,2,3.0
2025-05-05 15:30:00+00:00,2025-05-05 16:00:00+00:00,56.365775599407044,1,2.0
2025-05-05 16:40:00+00:00,2025-05-05 17:10:00+00:00,-54.19341756533701,2,3.5
2025-05-05 18:15:00+00:00,2025-05-05 19:00:00+00:00,-35.59579752855277,2,3.0
2025-05-05 20:55:00+00:00,2025-05-05 23:50:00+00:00,-41.66378702827607,2,3.0
