entry_time,exit_time,pnl,entry_count,avg_leverage
2025-05-02 10:35:00+00:00,2025-05-02 10:45:00+00:00,-27.003857693955478,1,3.0
2025-05-02 11:15:00+00:00,2025-05-02 11:25:00+00:00,-38.45363523593147,2,2.5
2025-05-02 12:05:00+00:00,2025-05-02 12:30:00+00:00,240.13467618783682,2,3.5
2025-05-02 12:30:00+00:00,2025-05-02 12:35:00+00:00,23.438487996649858,1,1.0
2025-05-02 12:35:00+00:00,2025-05-02 12:50:00+00:00,33.13779247253394,2,2.5
2025-05-02 12:50:00+00:00,2025-05-02 13:10:00+00:00,25.020064000704913,2,2.0
2025-05-02 13:10:00+00:00,2025-05-02 13:15:00+00:00,-7.14195584020137,1,1.0
2025-05-02 13:15:00+00:00,2025-05-02 13:25:00+00:00,-26.263081540968315,2,2.5
2025-05-02 13:25:00+00:00,2025-05-02 13:45:00+00:00,-39.535956343130024,2,3.5
2025-05-02 14:25:00+00:00,2025-05-02 14:30:00+00:00,-30.975905045332958,1,4.0
2025-05-02 14:30:00+00:00,2025-05-02 14:40:00+00:00,-25.21373029107059,2,2.0
2025-05-02 16:00:00+00:00,2025-05-02 16:05:00+00:00,-14.094533215338952,1,3.0
2025-05-02 16:05:00+00:00,2025-05-02 17:15:00+00:00,-44.71204358705862,2,3.5
2025-05-02 18:10:00+00:00,2025-05-02 18:45:00+00:00,-32.20237207998734,2,2.0
2025-05-02 21:05:00+00:00,2025-05-02 21:10:00+00:00,-16.626504257582194,1,3.0
2025-05-02 21:10:00+00:00,2025-05-02 23:25:00+00:00,-44.166260434592346,2,3.5
2025-05-05 09:20:00+00:00,2025-05-05 10:30:00+00:00,-31.956885589780775,2,3.0
2025-05-05 10:30:00+00:00,2025-05-05 11:40:00+00:00,-31.298592778310294,2,2.5
2025-05-05 11:40:00+00:00,2025-05-05 12:10:00+00:00,53.80463044835219,2,3.0
2025-05-05 12:10:00+00:00,2025-05-05 12:30:00+00:00,-14.316926930269485,2,2.0
2025-05-05 12:30:00+00:00,2025-05-05 14:00:00+00:00,23.897937458714363,2,2.0
2025-05-05 14:00:00+00:00,2025-05-05 14:15:00+00:00,19.704296383888142,2,3.0
2025-05-05 14:15:00+00:00,2025-05-05 14:20:00+00:00,-24.273756560275107,1,2.0
2025-05-05 14:20:00+00:00,2025-05-05 14:35:00+00:00,83.68803116474147,2,3.0
2025-05-05 14:35:00+00:00,2025-05-05 14:55:00+00:00,35.14083311622191,2,2.5
2025-05-05 14:55:00+00:00,2025-05-05 15:30:00+00:00,-26.818833378362527,2,2.5
2025-05-05 16:05:00+00:00,2025-05-05 18:05:00+00:00,28.961521143047484,2,3.5
2025-05-05 18:05:00+00:00,2025-05-05 19:00:00+00:00,-70.35584140817136,2,3.5
2025-05-05 20:50:00+00:00,2025-05-05 21:20:00+00:00,-11.47772471686553,2,2.0
2025-05-05 21:20:00+00:00,2025-05-05 23:55:00+00:00,-5.110520135478498,2,2.5
